user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
230,22864,5344,18550,9658
231,22962,5361,18641,9682
232,22991,5365,18673,9683
233,23161,5403,18801,9763
234,23503,5481,19071,9913
235,23514,5482,19081,9915
236,23515,5482,19082,9915
237,23563,5485,19132,9916
238,23566,5489,19133,9922
239,23804,5537,19320,10021
240,23959,5583,19429,10113
241,23985,5586,19445,10126
242,24284,5653,19707,10230
243,24355,5676,19770,10261
244,24550,5722,19933,10339
245,24551,5722,19933,10340
246,24576,5725,19958,10343
247,24579,5727,19959,10347
248,24847,5780,20157,10470
249,24849,5782,20159,10472
250,24903,5794,20217,10480
251,24911,5803,20219,10495
252,24974,5812,20256,10530
253,25003,5816,20288,10531
254,25285,5877,20510,10652
255,25289,5880,20513,10656
256,25302,5888,20518,10672
257,25332,5895,20552,10675
258,25334,5897,20554,10677
259,25363,5905,20580,10688
260,25605,5955,20785,10775
261,25739,5978,20871,10846
262,25793,5992,20910,10875
263,26137,6087,21187,11037
264,26148,6089,21192,11045
265,26154,6092,21192,11054
266,26178,6099,21202,11075
267,26191,6106,21211,11086
268,26377,6160,21373,11164
269,26402,6166,21399,11169
270,26672,6220,21599,11293
271,26684,6224,21608,11300
272,26721,6228,21645,11304
273,26722,6228,21645,11305
274,26770,6235,21689,11316
275,27005,6286,21883,11408
276,27005,6288,21883,11410
277,27199,6346,22027,11518
278,27218,6350,22042,11526
279,27476,6396,22246,11626
280,27477,6396,22247,11626
281,27504,6404,22261,11647
282,27643,6452,22382,11713
283,27856,6510,22562,11804
284,28135,6559,22757,11937
285,28158,6564,22784,11938
286,28238,6592,22869,11961
287,28460,6635,23049,12046
288,28604,6665,23169,12100
289,28945,6740,23420,12265
290,29156,6800,23598,12358
291,29213,6802,23651,12364
292,29497,6870,23865,12502
293,29508,6870,23873,12505
294,29515,6871,23876,12510
295,29544,6875,23904,12515
296,29737,6926,24042,12621
297,29818,6951,24122,12647
298,30076,7010,24335,12751
299,30079,7011,24338,12752
300,30099,7012,24356,12755
301,30124,7021,24387,12758
302,30303,7073,24526,12850
303,30440,7107,24640,12907
304,30521,7126,24722,12925
305,30788,7192,24949,13031
306,30810,7196,24964,13042
307,30870,7209,25024,13055
308,30962,7236,25089,13109
309,30973,7239,25098,13114
310,30998,7242,25123,13117
311,31013,7244,25134,13123
312,31033,7248,25148,13133
313,31270,7292,25316,13246
314,31285,7296,25319,13262
315,31543,7347,25506,13384
316,31563,7353,25530,13386
317,31805,7398,25724,13479
318,31839,7401,25751,13489
319,32098,7464,25965,13597
320,32101,7467,25967,13601
321,32109,7470,25970,13609
322,32222,7494,26062,13654
323,32232,7495,26068,13659
324,32232,7496,26068,13660
325,32244,7499,26072,13671
326,32256,7503,26081,13678
327,32299,7510,26128,13681
328,32312,7514,26139,13687
329,32325,7516,26141,13700
330,32410,7534,26238,13706
331,32507,7559,26320,13746
332,32542,7565,26352,13755
333,32760,7626,26520,13866
334,32968,7678,26685,13961
335,32986,7688,26693,13981
336,33022,7694,26729,13987
337,33076,7703,26789,13990
338,33169,7724,26870,14023
339,33170,7724,26871,14023
340,33439,7784,27076,14147
341,33484,7798,27119,14163
342,33496,7799,27128,14167
343,33497,7800,27130,14167
344,33723,7850,27292,14281
345,33772,7856,27331,14297
346,33797,7862,27362,14297
347,33919,7887,27456,14350
348,33935,7894,27470,14359
349,33951,7900,27476,14375
350,33987,7907,27513,14381
351,34013,7915,27533,14395
352,34016,7916,27534,14398
353,34242,7982,27717,14507
354,34253,7985,27721,14517
355,34261,7986,27723,14524
356,34289,7990,27755,14524
357,34564,8047,28009,14602
358,34805,8108,28199,14714
359,34830,8119,28220,14729
360,34910,8137,28304,14743
361,35107,8191,28450,14848
362,35108,8191,28450,14849
363,35243,8227,28541,14929
364,35479,8273,28700,15052
365,35502,8278,28719,15061
366,35674,8311,28835,15150
367,35675,8311,28835,15151
368,35687,8312,28839,15160
369,35925,8353,29018,15260
370,35937,8354,29027,15264
371,36132,8393,29181,15344
372,36188,8402,29243,15347
373,36421,8451,29424,15448
374,36447,8454,29447,15454
375,36448,8454,29447,15455
376,36469,8464,29457,15476
377,36470,8464,29457,15477
378,36517,8471,29501,15487
379,36532,8474,29511,15495
380,36583,8485,29565,15503
381,36781,8541,29724,15598
382,36798,8543,29731,15610
383,37048,8613,29938,15723
384,37243,8666,30106,15803
385,37442,8724,30278,15888
386,37442,8724,30278,15888
387,37683,8784,30474,15993
388,37693,8788,30476,16005
389,37901,8848,30643,16106
390,37981,8865,30733,16113
391,37981,8865,30733,16113
392,38177,8913,30871,16219
393,38360,8972,31011,16321
394,38381,8981,31037,16325
395,38381,8981,31037,16325
396,38664,9055,31243,16476
397,38669,9058,31245,16482
398,38947,9114,31491,16570
399,38961,9114,31502,16573
400,38984,9118,31529,16573
401,39224,9174,31717,16681
402,39256,9180,31752,16684
403,39285,9183,31761,16707
404,39286,9184,31761,16709
405,39430,9216,31865,16781
406,39491,9220,31924,16787
407,39518,9230,31942,16806
408,39535,9232,31947,16820
409,39542,9232,31954,16820
410,39549,9234,31960,16823
411,39552,9234,31962,16824
412,39765,9298,32131,16932
413,39811,9306,32154,16963
414,40120,9376,32373,17123
415,40120,9376,32373,17123
416,40373,9437,32576,17234
417,40629,9502,32778,17353
418,40637,9503,32781,17359
419,40670,9512,32807,17375
420,40800,9537,32896,17441
421,40807,9538,32899,17446
422,40814,9539,32902,17451
423,40904,9557,33001,17460
424,40911,9560,33005,17466
425,40959,9563,33055,17467
426,41026,9575,33116,17485
427,41268,9623,33309,17582
428,41312,9629,33350,17591
429,41367,9642,33389,17620
430,41380,9647,33394,17633
431,41382,9647,33395,17634
432,41504,9667,33483,17688
433,41709,9722,33643,17788
434,41890,9777,33788,17879
435,42177,9845,33992,18030
436,42510,9936,34260,18186
437,42513,9939,34261,18191
438,42569,9948,34323,18194
439,42591,9955,34333,18213
440,42606,9960,34336,18230
441,42624,9964,34346,18242
442,42841,10024,34514,18351
443,42844,10024,34514,18354
444,43049,10071,34673,18447
445,43051,10071,34674,18448
446,43065,10071,34685,18451
447,43128,10091,34750,18469
448,43374,10149,34941,18582
449,43554,10189,35073,18670
450,43567,10191,35083,18675
451,43824,10252,35288,18788
452,43851,10262,35319,18794
453,44086,10307,35488,18905
454,44128,10316,35522,18922
455,44418,10386,35735,19069
456,44425,10390,35740,19075
457,44439,10391,35747,19083
458,44473,10397,35783,19087
459,44496,10405,35793,19108
460,44499,10405,35794,19110
461,44620,10439,35946,19113
462,44708,10463,36017,19154
463,45022,10553,36298,19277
464,45039,10557,36304,19292
465,45065,10562,36333,19294
466,45148,10579,36427,19300
467,45172,10585,36448,19309
